snagid,site,plotid,group,crown,xc,yc,z_m,elev,trasp,slope,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,p1th,p2th,p3th,p4th,p5th,n,area,ptd,zcv,rumple,top.rugosity,deepgap.fraction,cover.fraction,ENTmid,GFPall,GFPmid,LADm,LADcv,VAI,VCI,overcanopy,cat
BR210B_GF07,cda,BR210B,SI,YES,535958.5542,5285266.125,1282.37,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.4,23.3,INTACT,FULL,V,Y,S,N,N,0,35.22,20.091181102362206,10.28739566100564,-0.4289875591070832,1.848835282149135,0.9438389805092976,55.59055118110236,93.85826771653544,1.847,3.378,6.721000000000001,8.986,11.504999999999999,13.592,15.797,18.392000000000003,20.544,23.29,25.146000000000008,26.402,26.99900000000001,27.978,28.86,29.544000000000004,30.30300000000001,32.336,32.996,10.410094637223976,15.457413249211356,23.34384858044164,31.07255520504732,39.11671924290221,47.1608832807571,53.78548895899054,71.60883280757098,88.32807570977918,62.99212598425197,29.606299212598426,7.086614173228346,0.31496062992125984,0,635,23.96080000075004,25.4,1.9529900243380163,3.109388033259741,3.0031671830197313,0.5555555555555556,0.4444444444444444,0.9404129258698266,0.9012365787517269,0.8592197458475225,0.16412137369194385,1.1880506967074436,2.7900633527630454,0.7718494531149489,11.919999999999998,small
BR210B_GF09,cda,BR210B,SB,NO,535947.0444,5285271.722,1304.35,1312.8424682617188,0.8396402132591914,0.2783737370903703,GF,0.19,2.7,BT,SOME,N,N,L,Y,Y,1,30.09,15.046666666666667,10.119529039772488,0.049719813182325,1.1561833551156662,0.6921889675095793,49.01960784313725,95.09803921568627,3.0905000000000005,3.66,4.533000000000002,5.688,5.89,6.192,6.3035,6.484,7.3375,7.67,22.990000000000002,23.194000000000003,23.3165,23.957000000000004,24.305,24.692000000000007,26.795,27.197000000000003,27.769,4.9504950495049505,26.732673267326735,51.48514851485149,51.48514851485149,51.48514851485149,51.48514851485149,51.48514851485149,70.29702970297029,90.0990099009901,85.29411764705883,12.745098039215685,1.9607843137254901,0,0,102,13.15799999838043,4.08,1.4868939658682925,7.688740059794929,8.617397530577314,0.75,0.25,0.5407131640118273,0.8877352318083709,0.855274071245708,0.20103566005667803,0.6213990210203865,3.0155349008501706,0.5424357850099143,27.39,small
BR210B_WL01,cda,BR210B,SB,NO,535984.9509,5285266.733,1298.5,1312.8424682617188,0.8396402132591914,0.2783737370903703,WL,0.29,11.2,BT,FULL,N,N,N,N,Y,0,28.080000000000002,11.590348837209303,6.019783355037527,0.9503252385747697,3.551463364082208,0.7168824519142998,26.744186046511626,98.83720930232558,2.55,5.2,5.5175,7.62,9.0775,9.260000000000002,9.450000000000001,9.9,10.047500000000001,10.29,11.110000000000001,11.23,11.415000000000003,11.535,11.6,16.18,20.125,20.6,24.127499999999998,7.0588235294117645,16.470588235294116,21.176470588235293,61.1764705882353,80,82.3529411764706,83.52941176470588,95.29411764705883,96.47058823529412,62.7906976744186,30.23255813953488,6.976744186046512,0,0,86,23.908500000706177,3.44,1.9253764053668423,4.0840497267189475,5.22417234547618,0.5833333333333334,0.41666666666666663,0.690896373402942,0.8616183222159279,0.8024694295143453,0.3181676640181077,0.610422462054577,4.454347296253508,0.5508764533333678,16.880000000000003,small
BR210B_WL02,cda,BR210B,SB,NO,535964.3367,5285264.939,1295.04,1312.8424682617188,0.8396402132591914,0.2783737370903703,WL,0.3,16.8,BT,SOME,N,N,S,Y,UNK,0,31.720000000000002,13.508848684210527,8.08440757661418,0.817133303509154,2.3687764446866044,0.8014887334301584,34.868421052631575,97.69736842105263,4.3115000000000006,5.343,6.1690000000000005,7.3260000000000005,7.62,8.620999999999993,9.4305,9.7,10.15,10.3,10.533000000000001,11.454000000000017,13.118500000000003,15.342,19.462500000000002,23.416,24.222,28.447,28.6,2.6402640264026402,16.501650165016503,36.633663366336634,64.02640264026402,71.28712871287128,72.93729372937294,78.87788778877888,86.79867986798679,93.3993399339934,67.43421052631578,24.671052631578945,6.907894736842106,0.9868421052631579,0,304,22.889000000885222,12.16,1.6709757092514317,5.128494058681385,7.284576159542559,0.6111111111111112,0.38888888888888884,0.8104630406831885,0.8705770097769323,0.7949054124551703,0.2514078368233939,0.6861774336948547,3.7711175523509084,0.6338957999841333,14.920000000000002,small
BR211G_DF01,cda,BR211G,LI,YES,537819.3545,5307202.731,1284.33,1287.0675048828125,0.03407652990588833,0.5239106478547635,DF,0.66,30.3,INTACT,FULL,F,Y,S,Y,Y,0,26.48,11.232569444444445,8.618311513967635,0.28898307105618076,1.3998921840540521,0.8200361102368754,46.52777777777778,95.13888888888889,2.0875,2.383,2.49,2.58,2.7225,2.849,3.1200000000000006,4.6419999999999995,5.7700000000000005,8.175,12.248500000000009,15.72600000000001,16.841000000000005,17.610000000000017,20.4325,21.020000000000003,22.174500000000002,22.811000000000003,24.438,23.776223776223777,42.65734265734265,49.65034965034965,53.84615384615385,56.64335664335664,60.83916083916084,70.62937062937063,80.41958041958041,92.3076923076923,68.75,27.77777777777778,3.4722222222222223,0,0,144,21.11589999863263,5.76,1.303337599974183,5.341638508222839,6.134625404943187,0.5666666666666667,0.43333333333333335,0.7600027048673718,0.8955832073613562,0.8722601482034756,0.23260793465543747,0.42497012147284874,3.0239031505206873,0.6167706107004582,-3.8200000000000003,large
BR211G_DF05,cda,BR211G,LI,NO,537794.6827,5307227.8,1285.47,1287.0675048828125,0.03407652990588833,0.5239106478547635,DF,0.44,NA,INTACT,FULL,C,N,S,N,N,0,37.800000000000004,29.030995024875622,7.738730451758553,-1.732583009110097,5.405392349070689,0.7700604832230903,67.16417910447761,100,10.4,16.19,25.11,25.91,28.64,28.95,29.09,29.34,29.900000000000002,31.38,32.04,32.77,33.07,33.24,33.980000000000004,34.64,35.06000000000001,35.68,36.230000000000004,0.5,3,7.5,9.5,11.5,14,21,47,76,79.1044776119403,19.402985074626866,1.4925373134328357,0,0,201,24.108100000891696,8.04,3.751389870192288,3.3165014197438696,4.718968181206364,0.5833333333333334,0.41666666666666663,0.763593139550957,0.8187175532036722,0.7327612769339182,0.31195911223876915,0.7259984702586931,5.303304908059076,0.6392387790981543,NA,large
BR211G_DF06,cda,BR211G,SB,NO,537793.9698,5307222.571,1283.18,1287.0675048828125,0.03407652990588833,0.5239106478547635,DF,0.39,NA,BT,FULL,C,Y,S,N,Y,0,33.9,21.533440860215055,8.55712822818358,-0.8191923958758107,2.470200893762369,0.8955793644725049,60.57347670250897,100,4.409000000000001,6.956,8.347000000000001,14.768,16.33,18.302,20.277,21.938000000000002,23.706999999999997,24.7,25.589,26.348,26.891000000000002,27.270000000000003,27.76,29.026000000000003,29.426000000000002,30.138000000000005,31.07699999999999,2.877697841726619,9.352517985611511,16.546762589928058,19.424460431654676,28.776978417266186,35.25179856115108,45.32374100719424,68.34532374100719,93.16546762589928,59.85663082437276,26.523297491039425,11.827956989247312,1.7921146953405016,0,279,24.00750000078813,11.16,2.5164331170465535,2.08399033875521,2.109573395757519,0.6111111111111112,0.38888888888888884,0.8738470529445747,0.851449094970218,0.7861111146354064,0.20441749495732192,1.1787853884613997,3.0662624243598287,0.7207020816685896,NA,small
BR211G_DF07,cda,BR211G,LB,NO,537796.864,5307225.591,1281.31,1287.0675048828125,0.03407652990588833,0.5239106478547635,DF,0.43,NA,BT,FULL,C,Y,S,Y,Y,0,37.800000000000004,30.17306451612903,7.22288963644567,-1.96490704450961,6.527624446824441,0.7644387077787992,66.53225806451613,100,12.445000000000002,21.144,25.1735,26.838,28.849999999999998,29.933999999999997,30.2945,31.222,32.3045,33.11,33.687,33.892,34.093,34.426,34.6725,34.910000000000004,35.22,35.625,36.16199999999999,0.4048582995951417,2.42914979757085,4.4534412955465585,6.882591093117409,8.502024291497975,11.740890688259109,17.813765182186234,34.008097165991906,64.37246963562752,66.93548387096774,27.016129032258064,5.64516129032258,0.4032258064516129,0,248,23.763600000006704,9.92,4.177422892339384,1.7485067015168156,1.2625774114010664,0.6111111111111112,0.38888888888888884,0.826930670251514,0.8102591332317713,0.7321737988533654,0.2835459744473551,1.4554982456063004,4.820281565605037,0.6345720588214153,NA,large
BR211I_GF01,cda,BR211I,LB,NO,536720.2723,5285134.851,1324.36,1351.6100158691406,6.819082567333101e-6,0.2654531336425212,GF,0.5,NA,BT,SOME,N,N,N,Y,Y,1,33.75,24.736680412371136,6.855423375696749,-1.3466838409017912,4.1484208289116395,0.811392554902808,65.15463917525773,99.79381443298969,9.418000000000001,14.228000000000002,18.014000000000003,18.945999999999998,22.77,24.142,24.758,25.562,26.387999999999998,26.96,27.878000000000018,28.5,28.67,29.008000000000003,29.22,29.48,29.842000000000002,31.630000000000006,32,0.4132231404958678,3.512396694214876,5.991735537190083,9.090909090909092,13.016528925619836,23.34710743801653,26.033057851239672,50.413223140495866,86.36363636363637,63.71134020618556,26.18556701030928,8.24742268041237,1.8556701030927836,0,485,23.42520000193287,19.4,3.6083373785586264,2.020467709534389,1.3187430270634877,0.5833333333333334,0.41666666666666663,0.8348047726007262,0.8393740158984754,0.7827185812422376,0.3865093056835927,0.927514542106411,6.184148890937483,0.6529541954255269,NA,large
BR211I_GF03,cda,BR211I,LB,NO,536708.6431,5285135.444,1347.01,1351.6100158691406,6.819082567333101e-6,0.2654531336425212,GF,0.91,10.33,BT,FULL,N,N,L,Y,Y,12,33.4,22.411360153256705,6.972859881129413,-0.3580155415853291,1.8500371662764254,0.8033463007206942,59.578544061302686,100,10.773,12.473,13.0615,13.442,16.0775,18.262,19.564500000000002,22.208,24.1445,24.32,24.4655,24.654000000000003,26.293000000000003,27.681000000000004,28.4375,29.178,29.4085,30.617000000000004,31.959,0,0.19193857965451055,2.495201535508637,18.809980806142036,26.871401151631478,37.81190019193858,41.45873320537428,66.79462571976967,86.37236084452975,67.81609195402298,24.521072796934863,7.471264367816093,0.19157088122605362,0,522,22.766399999089913,20.88,3.214084397982579,2.933444363237594,3.514880971989343,0.5333333333333333,0.4666666666666667,0.6997717096621833,0.7169067219355014,0.5564253730938734,0.44697625627733134,0.6259737845560216,6.257667587882639,0.6464791108392496,23.07,large
