snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
BR212A_DF06,cda,BR212A,SB,NO,534778.7022,5285418.099,1257.22,DF,0.35,2.47,BT,FULL,N,Y,S,Y,Y,0
BR212A_DF07,cda,BR212A,LB,NO,534769.6599,5285437.717,1247.78,DF,0.52,3.32,BT,FULL,N,Y,S,Y,Y,0
BR212A_DF08,cda,BR212A,LB,NO,534769.4186,5285415.376,1262.5,DF,0.62,13.97,BT,SOME,N,Y,N,Y,Y,0
BR212A_DF09,cda,BR212A,LB,NO,534769.2054,5285425.933,1263.69,DF,0.6,3.32,BT,FULL,N,Y,S,Y,Y,0
BR212B_GF01,cda,BR212B,SB,NO,525937.8777,5297366.825,789.45,GF,0.39,3.93,BT,SOME,N,Y,N,Y,Y,0
BR212B_GF02,cda,BR212B,LB,YES,525945.6572,5297367.749,786.35,GF,0.64,NA,BT,FULL,M,N,N,Y,Y,0
BR212B_GF03,cda,BR212B,LI,YES,525949.3429,5297380.325,822.27,GF,0.44,NA,INTACT,FULL,F,N,N,Y,UNK,0
BR212B_GF05,cda,BR212B,LB,NO,525949.0266,5297367.431,815.41,GF,0.53,22.83,BT,FULL,C,Y,S,N,N,0
BR212B_GF06,cda,BR212B,LI,YES,525949.6597,5297359.764,818.59,GF,0.45,36.55,INTACT,FULL,F,Y,N,N,N,0
BR212B_GF10,cda,BR212B,LB,NO,525943.2403,5297355.957,791.6,GF,0.56,5.7,BT,FULL,C,Y,N,Y,Y,1
BR212B_GF11,cda,BR212B,LB,NO,525919.1023,5297347.846,810.91,GF,0.6,NA,BT,FULL,N,Y,N,Y,Y,0
BR212C_PP01,cda,BR212C,LB,YES,531842.2479,5281329.861,827.77,PP,0.62,18.2,BT,FULL,M,N,N,N,N,1
BR212I_PP01,cda,BR212I,LB,NO,530846.6234,5293587.418,1115.99,PP,0.55,7.77,BT,FULL,C,N,N,Y,Y,0
