snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
HS222C_GF04,stj,HS222C,LB,NO,571056.735,5220210.567,1432.36,GF,0.58,7.24,BT,SOME,C,N,S,Y,Y,1
HS222F_DF01,stj,HS222F,LB,NO,570051.8035,5219704.463,1186.64,DF,0.55,12.46,BT,FULL,C,Y,L,Y,Y,7
HS222F_RC01,stj,HS222F,LI,NO,570042.3654,5219720.023,1183.36,RC,0.69,27.71,INTACT,NONE,N,N,N,Y,UNK,0
HS222F_RC02,stj,HS222F,LI,NO,570049.2159,5219698.765,1182.71,RC,0.46,27.72,INTACT,NONE,C,N,N,Y,UNK,0
HS222F_RC03,stj,HS222F,SI,NO,570038.2996,5219698.191,1177.28,RC,0.4,24.85,INTACT,NONE,N,N,S,N,UNK,0
HS222F_RC05,stj,HS222F,LI,NO,570032.5377,5219704.347,1182.04,RC,0.64,34.99,INTACT,NONE,N,N,N,Y,UNK,0
HS222F_UN01,stj,HS222F,LB,NO,570041.6907,5219719.348,1193.62,UN,0.65,25.15,BT,NONE,N,N,S,N,Y,1
HS222I_UN01,stj,HS222I,LB,NO,569241.588,5220900.182,1276.89,UN,0.85,14.53,BT,NONE,N,N,S,Y,Y,1
HS222I_UN02,stj,HS222I,SB,NO,569216.5275,5220896.555,1319.09,UN,0.38,5.91,BT,NONE,N,N,S,Y,Y,0
HS222I_UN03,stj,HS222I,LI,NO,569205.9723,5220904.212,1271.09,UN,0.47,26.39,INTACT,NONE,N,N,S,Y,Y,0
HS22X5_DF01,stj,HS22X5,SB,NO,567802.3829,5221795.691,1087.16,DF,0.4,19.43,BT,SOME,N,N,S,Y,Y,0
HS22X5_WL01,stj,HS22X5,SI,YES,567814.115,5221804.161,1077.07,WL,0.23,20.64,INTACT,FULL,F,N,S,Y,Y,0
HS22X5_WL02,stj,HS22X5,SB,NO,567802.8881,5221797.919,1079.15,WL,0.25,12.35,BT,FULL,N,N,S,Y,Y,0
HS22X7_DF01,stj,HS22X7,SI,NO,570927.6205,5219362.551,1278.02,DF,0.28,17,INTACT,FULL,C,Y,S,Y,Y,0
HS22X7_GF02,stj,HS22X7,SI,NO,570920.9179,5219364.804,1287.99,GF,0.16,23.8,INTACT,FULL,C,N,S,N,N,0
HS22X7_GF03,stj,HS22X7,SB,NO,570922.5813,5219365.269,1288.13,GF,0.32,13.6,BT,FULL,C,N,N,Y,Y,0
HS22X7_UN02,stj,HS22X7,SI,NO,570924.1088,5219358.063,1277.25,UN,0.37,26.9,INTACT,NONE,N,N,N,Y,UNK,0
HS22X7_WL01,stj,HS22X7,LI,NO,570919.7014,5219346.007,1294.33,WL,0.52,34.4,INTACT,NONE,N,N,S,Y,Y,0
HS22X7_WL02,stj,HS22X7,SI,NO,570926.8604,5219337.312,1289.79,WL,0.2,26.2,INTACT,FULL,N,N,N,Y,Y,0
